layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,best_augmented_var,kstest_stat_minus75,kstest_stat_minus100
2,18678.61,18678.61,17565.79,16957.357,16472.002,16041.406,15295.378,14656.122,14094.215,13593.154,13134.911,11956.47,0.0127396613552036,0.0127245690396558,0.0127166779849198,0.0134938403228471,0.0153159316765256,0.0168772828496345,0.0171708913390411,0.0174426879795815,0.0176732727735372,0.0205043889526227,0.0253022709919388,0.01918455740867908,0.01753411899254964,0.015782692442863788,0.013950595519134357,0.012716677984919877,0.013177890666227432,0.013994155012924947,,,
3,5005.0635,5005.0635,4770.6226,4658.6416,4570.673,4493.9785,4361.866,4248.3013,4147.1323,4055.487,3971.1619,3751.9937,0.1324399999999997,0.1324399999999997,0.1324399999999997,0.1324399999999997,0.1324399999999997,0.1324399999999997,0.1324399999999997,0.1324399999999997,0.1324399999999997,0.1324399999999997,0.1324399999999997,0.13243999999999972,0.13243999999999972,0.13243999999999972,0.13243999999999972,0.13243999999999972,,,,,
4,1581.1781,1581.1781,1521.7079,1487.6663,1460.0242,1436.2501,1395.2173,1359.5914,1327.8512,1298.9122,1272.2318,1202.5864,0.0770699999999998,0.0770699999999998,0.0770699999999998,0.0770699999999998,0.0770699999999998,0.0770699999999998,0.0770699999999998,0.0770699999999998,0.0770699999999998,0.0770699999999998,0.0770699999999998,0.07706999999999975,0.07706999999999975,0.07706999999999975,0.07706999999999975,0.07706999999999975,,,1436.2501,,
5,447.8472,447.8472,430.67142,421.0882,413.16837,406.25644,394.32236,384.0225,374.8314,366.50238,358.85953,338.83176,0.0421499999999998,0.0421499999999998,0.0421499999999998,0.0421499999999998,0.0421499999999998,0.0421499999999998,0.0421499999999998,0.0421499999999998,0.0421499999999998,0.0421499999999998,0.0421499999999999,0.042149999999999854,0.042149999999999854,0.042149999999999854,0.042149999999999854,0.042149999999999854,,,,,
6,107.28198,107.28198,102.993286,100.544464,98.53727,96.79882,93.83077,91.294716,89.046974,87.01006,85.14028,80.25739,0.0139551763973708,0.0142464218316048,0.0145257592536987,0.0144294469678278,0.014180003544525,0.0143451214984198,0.0145285209003513,0.0146490174797588,0.0147157803499123,0.0147384725119096,0.0147068046221115,0.014068990890353794,0.013139489056434972,0.012962484248930206,0.012712973941575889,0.012641241267140502,,,107.28198,,
7,23.563498,23.563498,22.281857,21.620235,21.091091,20.638988,19.873688,19.226707,18.659775,18.151306,17.6878,16.492405,0.0132128979023017,0.0130227643352835,0.013013032689367,0.0132275985040312,0.0131231496136335,0.0130037238054053,0.012941189910385,0.0129622291430615,0.012796824566932,0.0129487404710784,0.0128378236455748,0.012165029175413677,0.012216920596066716,0.012548636388148626,0.011776103719951941,0.011858898511940885,0.012225858052058669,0.012224789560297267,17.914526,0.012235895363163385,0.012659320535329144
8,5.0038414,5.0038414,4.6230407,4.445726,4.3076215,4.1915965,3.9993412,3.8406186,3.7036734,3.5825062,3.4734612,3.1977234,0.0125994599730515,0.009946300247381,0.0120448732132571,0.013763713875673,0.0132698302285367,0.0112646995961327,0.0119303880481143,0.013246843162087,0.014987718075658,0.0156041260101786,0.0169762529258787,0.011917375178161771,0.011363827234970536,0.011361105191363394,0.010874908445799747,0.009946300247381024,0.009915248750767991,,5.0038414,,
9,0.9259198,0.9259198,0.8222446,0.7861974,0.75903654,0.73662776,0.70015615,0.6705727,0.64539486,0.62334174,0.6036455,0.55442196,0.0094843666793732,0.007459515303804,0.0074595276332294,0.0085046404553579,0.008741092744687,0.0099862387405872,0.0082051742461847,0.0099938527607985,0.0100072060967272,0.009378904706894,0.0103311035576244,0.008695648700616579,0.0080104420728688,0.00745952861526078,0.007459512278342739,0.007459515303804065,0.008849339671625933,,0.7861974,,
