layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,3180.0,0.74,0.2,0.0174259831959303,0.744,0.19,0.01736920198252012,6034
3,12720.0,0.27,2.7,0.0051677535897904,0.265,2.79,0.005149505310139024,72444
4,50880.0,0.32,1.0,0.0045407921949978,0.33,0.92,0.004465754889066198,96592
5,203520.0,0.4,1e-09,0.0020055865453677,0.42,-0.054,0.001895652277406068,515160
6,814080.0,0.32,-0.1,0.0033063711527463,0.314,-0.07,0.0032818377743005223,171720
7,3256320.0,0.17,0.6,0.0077233978785699,0.165,0.68,0.007609999999997452,32197
8,13025280.0,0.12,1.4,0.0259199999999919,0.12,1.42,0.02591999999999184,2682
