layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var
2,4350.7837,4350.7837,3219.3308,2635.5562,2238.4243,1921.9712,1449.0283,1107.0206,849.439,652.4905,496.4857,181.89055,0.0109653979881722,0.0255609844513337,0.0420223476224298,0.0574008811932679,0.0710511099842278,0.0943815867651304,0.119600334248017,0.1467676509241886,0.1739637766105791,0.2010300278641656,0.2817642724582393,0.07105110998422788,0.058636328829926615,0.04414550121513412,0.0255609844513337,0.010965397988172254,
3,968.9302,968.9302,843.3286,768.7932,709.5425,659.466,579.2827,515.6215,462.68967,417.7817,379.88904,290.9453,0.015021930649777,0.0153388519775352,0.0192140031164173,0.0209284264507695,0.0247853686374726,0.0298267200570114,0.0376937495587265,0.0459762221962968,0.0546543578599528,0.0627449350172525,0.0862056563260323,0.02667213998762341,0.023855730183850343,0.02090265034798111,0.01743693334720553,0.014240999182952074,968.9302
4,217.4391,217.4391,204.74715,195.69405,188.43129,182.13957,171.50333,162.69794,154.97746,148.13492,141.81767,125.73621,0.0291379841764425,0.0291790554040261,0.0291452805254462,0.0291742285164844,0.0291488567879836,0.0291593036070235,0.029154857240232,0.0291582189507305,0.0291569538154397,0.0292796361508264,0.0327432027009261,0.02914400386881577,0.0291394861631995,0.02913445992669572,0.029123902545636543,0.028756330964442856,217.4391
5,43.51878,43.51878,42.515812,41.727047,41.03706,40.40838,39.270096,38.253334,37.338657,36.49494,35.710842,33.627857,0.0627099999999998,0.0627099999999998,0.0627099999999998,0.0627099999999998,0.0627099999999998,0.0627099999999998,0.0627099999999998,0.0627099999999998,0.0627099999999998,0.0627099999999998,0.0627099999999998,0.06270999999999982,0.06270999999999982,0.06270999999999982,0.06270999999999982,0.06270999999999982,
6,7.9740963,7.9740963,7.7191973,7.5178604,7.3435354,7.1861086,6.9095497,6.6684804,6.4534755,6.2601333,6.082823,5.6199756,0.1027499999999997,0.1027499999999997,0.1027499999999997,0.1027499999999997,0.1027499999999997,0.1027499999999997,0.1027499999999997,0.1027499999999997,0.1027499999999997,0.1027499999999997,0.1027499999999997,0.10274999999999979,0.10274999999999979,0.10274999999999979,0.10274999999999979,0.10274999999999979,
7,1.4557234,1.4557234,1.3941005,1.347424,1.3076397,1.2723794,1.2111226,1.1585362,1.1123652,1.0711105,1.0337164,0.93838227,0.1415399999999997,0.1415399999999997,0.1415399999999997,0.1415399999999997,0.1415399999999997,0.1415399999999997,0.1415399999999997,0.1415399999999997,0.1415399999999997,0.1415399999999997,0.1415399999999997,0.14153999999999978,0.14153999999999978,0.14153999999999978,0.14153999999999978,0.14153999999999978,
8,0.3187034,0.3187034,0.3021849,0.29042825,0.28069302,0.27223843,0.25786278,0.24575524,0.23523138,0.22590302,0.21752709,0.19661172,0.1755499999999997,0.1755499999999997,0.1755499999999997,0.1755499999999997,0.1755499999999997,0.1755499999999997,0.1755499999999997,0.1755499999999997,0.1755499999999997,0.1755499999999997,0.1755499999999997,0.17554999999999976,0.17554999999999976,0.17554999999999976,0.17554999999999976,0.17554999999999976,
9,0.106011204,0.106011204,0.1010028,0.09741091,0.09447361,0.091957785,0.08777169,0.084341094,0.08142152,0.07887726,0.07662252,0.07108587,0.2096899999999997,0.2096899999999997,0.2096899999999997,0.2096899999999997,0.2096899999999997,0.2096899999999997,0.2096899999999997,0.2096899999999997,0.2096899999999997,0.2096899999999997,0.2096899999999997,0.20968999999999977,0.20968999999999977,0.20968999999999977,0.20968999999999977,0.20968999999999977,
