band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,best_augmented_var,kstest_stat_minus75,kstest_stat_minus100
2,310058819736347.6,310058819736347.6,223827878122994.03,188995923729780.88,167410265521139.16,150779473084054.7,124708637124302.23,105601882054857.6,91074367609615.06,79091890254953.86,69107404642186.6,46381288004693.4,0.009993285738677,0.014688779992532,0.0233602520007795,0.0304295814302639,0.040325384639529,0.0605934009842387,0.0789141095961772,0.0956873920691196,0.1113694074722012,0.1259530239252864,0.1677072054546876,0.053984351624379756,0.04442699699473315,0.031675051038483365,0.01440618848770131,0.009993285738677082,,,,,
5,843883837504393.2,843883837504393.2,602950227074753.1,489672549223759.7,411842510085659.0,357639697433941.75,283802597171414.6,236301908573360.28,201832578784145.9,176635272928760.56,158699001257699.53,122191399047933.48,0.0244409957959784,0.0181839116313503,0.0133896909879903,0.013988710748658,0.016916380962167,0.0214268721513387,0.0273576970380539,0.0332312169607943,0.0388143186109497,0.0443249328862869,0.0594690226967286,0.02140390256360436,0.019379657696790287,0.016877096681871227,0.013928441641758438,0.01338969098799031,0.01719255601002337,0.017513360034414283,,,
8,181586562468395.3,181586562468395.3,144832404342509.0,130707783989345.84,119942349122324.52,110681821820743.88,95626348872309.2,84361072481422.08,75817091032768.1,69100590906077.12,63717607371571.05,52898083626833.63,0.0184601489457368,0.0184601489457368,0.0184601489457368,0.0183350619806199,0.0162526577119598,0.0121549703936187,0.0116261069349969,0.0130555099669239,0.0146466525540942,0.016604460979356,0.0222283593090079,0.014649124090287291,0.013841336610845523,0.013073251642255035,0.012395925795728013,0.011626106934996966,0.010759281323315563,0.012094356572338302,89532815141426.34,0.013648661383343724,0.01560052202223669
11,13306701323793.88,13306701323793.88,10804352987141.918,10143271001365.576,9757770661060.713,9477677446199.934,9077091915965.826,8773852783832.066,8519288416732.046,8310160955283.467,8130394855225.01,7702214421260.781,0.0086873805662379,0.0086873805662379,0.0078602861296494,0.0062316863200264,0.0049578834031924,0.0036596003261949,0.0042432725627686,0.0047169430321399,0.0052524325459895,0.0058381407582441,0.0092082303741615,0.006072677463816734,0.004907205995574038,0.004177350159953447,0.003907557340043333,0.003659600326194945,0.0040516596985702424,0.004878499096489852,,0.006038260887877178,0.0076830547395911886
14,209999593847065.4,209999593847065.4,198062471317933.6,190859210724167.6,184985889611652.53,179917670466514.47,171351465873227.7,164162741626288.56,157823398819550.66,152148761181222.84,146958804046760.22,133606780042065.66,0.0266578980733381,0.0236157328067633,0.0216857729940027,0.0226107788361128,0.0234442119534006,0.0248847783669517,0.023916672330263,0.0250977110419383,0.0261836234946742,0.0252807337810763,0.0272281160112293,0.023073266165978087,0.022486708582322955,0.0225022727314211,0.0221372587109468,0.021685772994002768,0.021497102489859143,0.02170526220560076,198062471317933.6,,
17,396778780470879.4,396778780470879.4,386629123319578.06,380531946652200.06,375618310537845.4,371309550544419.1,363795255347918.9,357254211388354.94,351312311828183.0,345848951065030.75,340758336236304.25,327291251500052.0,0.0085167759454707,0.0091127509317137,0.0095811709263734,0.0098680366880219,0.0100716196260601,0.0105555398018727,0.0109879814399977,0.0115674991463201,0.0119192009972605,0.0124338408402494,0.0137273388997052,0.010026223682835192,0.00972073062514478,0.009310169350100872,0.008964682779378452,0.008516775945470734,,,,,
20,100948714045925.12,100948714045925.12,97507930169411.44,95643845268791.12,94115889091270.64,92783046037616.44,90475126260144.62,88496107161066.83,86730912026901.89,85123127171266.0,83648893315671.52,79817971380156.62,0.0026379878238699,0.0017193793805559,0.0018709668510475,0.0023960535781057,0.0028743236908554,0.003810942892578,0.0046833250565787,0.0055088533829589,0.0062790174418198,0.007040750155032,0.0091413844367009,0.003314421938040553,0.0028393832646837897,0.0023831794556440113,0.001870966851047557,0.0017193793805559965,0.0025261666709555652,,,,
23,10927217044749.717,10927217044749.717,10645214079084.836,10484366367353.494,10352513766790.275,10237123947473.086,10037839034912.09,9866824643141.176,9714756281822.271,9576695570800.098,9449487710540.04,9115031656192.082,0.0023307624485573,0.0012603859911902,0.0009180887169125,0.0012893150251533,0.0016780815319085,0.0026105926049153,0.0035324445244382,0.0043772619473244,0.0051719141873457,0.0059294732099768,0.0080377626081295,0.0028157469685054434,0.002305082827760964,0.0019057607358953892,0.0015163407320225742,0.0009180887169125355,0.0012603859911902715,0.003902664931574762,,,
26,1914125554842.1267,1914125554842.1267,1867057363393.387,1840238223797.5493,1817978167034.5896,1798377876115.227,1764117322459.7412,1734164961315.6038,1707220294388.632,1682562918057.2915,1659699487482.433,1599009895226.745,0.0004842396890602,0.0011258003505614,0.0018050480410251,0.0023943393946305,0.0029191712639915,0.0038793593424287,0.0047541915049869,0.0055694421409226,0.0063428013513092,0.0070816912359478,0.0091641148945085,0.0031772266182594072,0.0026358921738734303,0.0022434080825579628,0.00148479725666293,0.0004842396890602091,,,,,
30,24335168310.46502,24335168310.46502,23529432219.2824,23039997617.801533,22635002461.21796,22279519084.52452,21662263077.5753,21130256553.536957,20656644110.13306,20227664396.29413,19833763323.540047,18808809610.64162,0.0026747382498006,0.0020392106844596,0.002707730437444,0.0027596433571561,0.0032727538018729,0.0042324664665044,0.0051032446799674,0.0059218871281725,0.006706955198835,0.0074608565039658,0.0095782304681696,0.004143346092394036,0.0037114291402450122,0.0032039606037958523,0.0026411664266420692,0.0020392106844596414,0.0025000510476324567,,,,
