band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var
2,0.045569226,0.045569226,0.031545125,0.024204817,0.01909115,0.015175794,0.009336053,0.0054521887,0.0028246779,0.0010608132,0.0001692995,,0.016571507499523,0.0476235972120424,0.0749584804583889,0.1026661442690494,0.1296003764505816,0.18021190655055,0.2334925108148866,0.2887416240008275,0.3488899939523551,0.4182227016570896,,0.1336640464675073,0.10835582254687459,0.08115239046192457,0.05050458414682324,0.016571507499523075,
13,0.040119242,0.040119242,0.028994653,0.022530848,0.017625898,0.013759693,0.008400859,0.0050459523,0.0026658117,0.001056693,0.00017277169,,0.0288673824156139,0.0621003473551796,0.0871624245636943,0.1099522361536032,0.1346173514566528,0.1901283743454721,0.2442362233498649,0.2911024605651052,0.3463598396341698,0.420946210186155,,0.13473309606431794,0.11030744055930586,0.08732553804978516,0.062254995667038515,0.02886738241561393,
17,0.042125735,0.042125735,0.034912635,0.030649818,0.027187299,0.024284499,0.019610435,0.015767876,0.012510176,0.009701998,0.0073778518,0.00281925,0.0184399395210363,0.0411145728870528,0.0566843816094184,0.0707528077866496,0.083651495163442,0.1076143365926084,0.1322069186611054,0.1560271902340217,0.1794548498575136,0.2081966861998136,0.2956703751599963,0.08365149516344204,0.07075280778664965,0.056684381609418466,0.04111457288705289,0.01843993952103637,
21,0.045803405,0.045803405,0.03802147,0.03347013,0.029636664,0.026266674,0.020853404,0.016431484,0.012881569,0.009939386,0.00761271,0.0029243147,0.0145842278811875,0.034124926661193,0.0490733855026594,0.062918211321127,0.0762893572948028,0.1018576842975343,0.1264653179248888,0.1524478881919876,0.1800589876818056,0.2069711348324683,0.2925771347027505,0.07775405867348652,0.06414975182717374,0.05060629451349438,0.03594894757767128,0.014584227881187573,
25,0.03871853,0.03871853,0.028284617,0.022207879,0.017787887,0.014320817,0.0087698735,0.005183634,0.002664278,0.001069089,0.00019254176,,0.0399832821367484,0.0770289947515714,0.103580022606765,0.1256318328725975,0.1446511144565296,0.199914615373308,0.2456847296421808,0.3040629421114472,0.3608153649692862,0.4343116389750475,,0.14465111445652967,0.1256318328725975,0.10358002260676502,0.07702899475157143,0.0399832821367484,
28,0.03883429,0.03883429,0.03194711,0.027807103,0.02447935,0.021689584,0.017219756,0.0137245245,0.010924246,0.008542313,0.006535956,0.0024511863,0.0128609964097733,0.0301416934305469,0.0468806872993034,0.0622731855183222,0.0767818559515858,0.103731213936757,0.1285393504683548,0.15085801027721,0.1768651164238034,0.2037280158116607,0.2871786870455006,0.07680880305935839,0.06230314943650947,0.046912697175176765,0.030175272946581344,0.01286099640977334,
31,0.042287204,0.042287204,0.040028643,0.03842685,0.03704212,0.03580597,0.03358748,0.03165547,0.029931154,0.028360492,0.026928842,0.023222491,0.0047965560447698,0.0100367259078126,0.0149427948613206,0.0193358924948321,0.0233820081765473,0.0309529891223569,0.0378887384107327,0.0443637062704188,0.0505058118113832,0.0563139630694597,0.0729168685004581,0.024362852461857293,0.020346806839229875,0.015984764412533936,0.011111309271819303,0.004796556044769806,
34,0.04047458,0.04047458,0.036346756,0.03363657,0.031385403,0.0293798,0.025965232,0.023107776,0.020548945,0.018238548,0.016214777,0.011348687,0.0123961563539815,0.0233851189803253,0.0315847347134833,0.0390125756514247,0.0467579345907152,0.0609363599639929,0.0738324851993725,0.0869140064590629,0.099801920059169,0.1132108113458331,0.1502463064732465,0.04675793459071527,0.039012575651424755,0.03158473471348333,0.023385118980325387,0.012396156353981558,
37,0.04145599,0.04145599,0.039781358,0.038471308,0.037354596,0.0363623,0.034617584,0.03304664,0.031603154,0.030286795,0.029076377,0.025879955,0.004727846965122,0.0084972075229481,0.0125426429820431,0.0160980136098041,0.019343468739848,0.0252561866278272,0.0308172509473576,0.0361368413432469,0.0411720936334299,0.0459644930274364,0.0594153997162649,0.020448473323637695,0.017227176820910017,0.013697167736098637,0.009679324878421047,0.004727846965122046,
40,0.042348634,0.042348634,0.040626265,0.039447896,0.03842184,0.0375048,0.035877347,0.034425743,0.033110656,0.03191591,0.030819066,0.027901793,0.0055672911952017,0.0066490321590278,0.0099384311341631,0.012855751392647,0.0155510849697809,0.0208844154117169,0.0258626627202004,0.0305653597395262,0.0350065093965751,0.0392333663673533,0.0512334044913196,0.01713447262847312,0.014257773510757882,0.011126647459987676,0.007639630135200609,0.005557619446610151,0.042348634
43,0.04169674,0.04169674,0.040635567,0.03984278,0.039141882,0.03850019,0.03735976,0.036343236,0.035418004,0.03456111,0.0337634,0.03162613,0.0038647133729783,0.0069409410734875,0.0092973865997805,0.0114237447254641,0.0134070173427044,0.0170211120591093,0.0203430333187284,0.0234528216703403,0.0264093276736225,0.0292302673169567,0.0371338299132103,0.013407017342704441,0.011423744725464147,0.009297386599780522,0.006940941073487528,0.0038647133729783345,
46,0.041534,0.041534,0.04076199,0.04014993,0.039618645,0.039137837,0.0382433,0.037425168,0.036667958,0.03595872,0.03528908,0.033462565,0.0117253496336283,0.0122063836936411,0.0125975155690331,0.0129581982097749,0.0132950628543601,0.0150895141622442,0.017695733666828,0.0201616370961397,0.0225197601281097,0.0247905682001591,0.0312138536510392,0.013295062854360107,0.012958198209774952,0.012597515569033102,0.012206383693641132,0.011725349633628368,
49,0.041520093,0.041520093,0.040877692,0.04037398,0.039927166,0.03951901,0.038779017,0.038106833,0.037482794,0.036899317,0.036348745,0.03485063,0.003029405957125,0.0042286916489627,0.0056959478375085,0.0070148795416817,0.0082342942688145,0.0104814831464977,0.012564533699885,0.0145351156463102,0.0164105564455806,0.018210238208976,0.0232609904967083,0.00879813851347433,0.007580096847949802,0.006262606231734469,0.0047968940912519464,0.0030294059571250864,
52,0.04202264,0.04202264,0.041077685,0.04036338,0.039745424,0.03917858,0.038162496,0.037243582,0.036394697,0.035600763,0.034855004,0.032846257,0.003049634311976,0.0057965935744723,0.0079163844067835,0.0097811069706094,0.0115173788532325,0.0146931683687472,0.01763772298732,0.0204212940444528,0.023081647782948,0.0256323008534532,0.0327635360924114,0.011517378853232563,0.00978110697060941,0.00791638440678355,0.005796593574472375,0.0030496343119760794,
