layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,best_scale,kstest_stat_best,n_pval_0.05
2,27208.0,2.8,-1.0,0.0127396615224288,2.78,-1.0,58283.194828627165,0.012726024503254718,11478
3,108832.0,1.8,-1.23,0.1324399999999997,1.89,-1.221,23690.163862995367,0.13243999999999984,106
4,333298.0,1.8,-1.23,0.0770699999999997,1.89,-1.221,7484.093864220143,0.07706999999999986,306
5,1149538.0,1.61,-1.3,0.0421499999999998,1.611,-1.3,2757.773456483027,0.04214999999999991,1062
6,4251250.0,3.0,-1.23,0.0108104561770461,2.8,-1.232,546.2493571426106,0.009899526968704497,18681
7,17005000.0,0.7,-1.18,0.0120494312828861,0.65,-1.17,40.32256169822708,0.011214426421401913,14010
8,68020000.0,0.29,-0.9,0.0099152486088581,0.281,-0.88,0.06848169559431205,0.009481238343414633,21015
9,272080000.0,0.07,2.1,0.0074595241191164,0.069,2.13,1.905092740563776e-26,0.00745952095708402,33212
