layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75
2,3234.1719,3234.1719,2981.6082,2812.2227,2669.7988,2547.7515,2338.5566,2161.8896,2007.6288,1873.6213,1752.0018,1446.9476,0.0074438102389191,0.0119428134384803,0.0164317569579489,0.0205051516296,0.0244040464945889,0.0324928515739033,0.0398615885173815,0.0466072165716869,0.0529706262168702,0.0589074438278816,0.0782145092152833,0.026797651642689546,0.022484369823069894,0.017709949150498727,0.012357563784923364,0.007443810238919102,,,,
3,845.32367,845.32367,812.61206,790.4284,771.68353,755.08466,725.6765,700.46155,678.0547,657.69885,638.92206,589.9225,0.00292019237681,0.0032806204606188,0.0041704808405478,0.0053926073569761,0.0064946624588236,0.0085882835856071,0.0103907529370585,0.0128015622787993,0.0149180686577019,0.0170657185859924,0.02325449743389,0.007384359428025067,0.006079486889450932,0.004696525956250447,0.003193075329923377,0.0027895788617300354,845.32367,,,
4,209.11427,209.11427,205.37236,202.7352,200.50768,198.48364,194.85735,191.60663,188.66754,185.95099,183.39603,176.64124,0.0034458012652865,0.0034660571799698,0.0030536358974712,0.0036170923107313,0.0039926650744794,0.0045092346009839,0.0051445287734193,0.0057102848224234,0.0063239342688422,0.0067856858590476,0.0080015287132567,0.004298681404762444,0.0037736577420580883,0.0034309348624024377,0.0033864864032124298,0.0030536358974712074,209.11427,0.0030906835541185673,0.0029692990919439888,
5,49.34364,49.34364,48.205322,47.506298,46.911102,46.380726,45.44632,44.627335,43.880894,43.191746,42.549923,40.82235,0.0029185539030824,0.0026224938438591,0.0029130924558504,0.0025321485802533,0.0028362899222543,0.0036744228333915,0.0043965923486264,0.0050800235277788,0.0057510752670858,0.0063848941925575,0.0081934147955172,0.003895171873407731,0.0035016629009534533,0.0031028246611424608,0.002820400840417781,0.0024437751283107323,49.34364,0.002128989541589875,0.0019090920675478573,0.0017704124670305799
6,11.379425,11.379425,11.069854,10.89047,10.739662,10.606244,10.37114,10.164627,9.978095,9.80662,9.647089,9.221422,0.0020877680213172,0.0036238223250769,0.0031089321834648,0.0039676884915803,0.0042951880342204,0.0050064598496914,0.0051934252722004,0.0051239948923914,0.0054726292872157,0.006108699443755,0.0078894624451573,0.0031590105835157464,0.002902528791403791,0.0026624985701325238,0.0023358101516064086,0.0019414332362061026,11.379425,,,
7,2.6437578,2.6437578,2.55377,2.508881,2.4712124,2.4378495,2.379309,2.328005,2.2816324,2.2390525,2.1994672,2.094297,0.0031916885381668,0.0050911248970444,0.0049744805967315,0.0051733579114957,0.0049260808570545,0.0048675929773621,0.0047802343486097,0.0054668848650717,0.0061321956116179,0.0067794100520814,0.008577938123116,0.0038786612468208193,0.0039462658862310165,0.0035680637713778607,0.003348351261367566,0.003127052321272139,2.6437578,,,
8,0.6327076,0.6327076,0.6073708,0.5956189,0.5857943,0.5771152,0.5619239,0.54866403,0.5367448,0.52584076,0.5157389,0.48901305,0.0070431218229404,0.0052236419827796,0.0062484214825025,0.0065172091059737,0.0067679582727042,0.00533157132039,0.0063800067740378,0.0069995076322982,0.0075087446757319,0.0081617878462463,0.0098501874659285,0.005420717119207774,0.004904638595296773,0.0054084020363253105,0.004779136023686181,0.00425032517700763,0.6327076,0.0038852180293372784,,
9,0.15728137,0.15728137,0.1497135,0.14632994,0.14352456,0.14105752,0.13677338,0.13306832,0.12975897,0.12674865,0.12397397,0.11669939,0.0047094450905908,0.0065768132239175,0.0070996987306536,0.0071210474583024,0.0075807940323244,0.0087520888509577,0.0069287428292625,0.0078238456511438,0.0082591686038826,0.0086968922670731,0.0098160720546183,0.00537397215094744,0.004885880566330658,0.004713329944328243,0.004593953740067103,0.003990211363564311,0.15728137,,,
10,0.040628906,0.040628906,0.03694846,0.035814106,0.03490465,0.034123834,0.032802667,0.031689927,0.03071768,0.029848926,0.02906065,0.02704373,0.0051368863373108,0.0028657084473834,0.0032929880058554,0.0036847230931506,0.0045748630633554,0.0057561196093632,0.0058947829639817,0.0063280193896002,0.0060404380349209,0.0068580129199304,0.008189443827484,0.0033683101355805704,0.0032513688367146014,0.0027315644195454493,0.0022122138134242145,0.002160679083523978,0.040628906,0.0016230843354374525,,
