band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,672.0,0.2,13.0,0.0139578786349076,0.0,0.2,13.0,100000.0,0.0139578786349076,0.0,9685
5,6720.0,0.1,3.2,0.0149715011941142,100.0,0.11,3.1,0.2878720538174057,0.014923189759990851,125.0,8505
8,12768.0,0.1,5.4,0.0114711458819707,200.0,0.1,5.4,1.7985954655057122e-05,0.0114711458819707,200.0,14364
11,26208.0,0.2,12.0,0.0030952794188253,100.0,0.18,12.0,302.3077224529225,0.002965385829334477,75.0,212521
14,52416.0,0.1,0.2,0.0188270518986784,0.0,0.12,-0.1,37331.89636332002,0.017929249488681576,0.0,5527
17,420672.0,0.1,8.3,0.0072257679674621,0.0,0.1,8.3,3.603551126279062e-06,0.0072257679674621,0.0,35529
20,841344.0,0.1,12.0,0.0011895767292597,50.0,0.1,12.0,1.1187848370523962e-08,0.0011895767292597,50.0,1262016
23,6730752.0,0.1,12.0,0.0013286904276501,50.0,0.1,12.0,2.0910181551431922e-09,0.0013286904276501,50.0,1064826
26,3365376.0,0.1,6.7,0.000966366228303,25.0,0.1,6.7,2.0566642710351532e-08,0.000966366228303,25.0,1893024
30,6730752.0,0.1,3.8,0.0028543029152086,50.0,0.1,3.8,1.1006276994077604e-07,0.0028543029152086,50.0,236628
